Struct / class sizes determined by looking at ASM (CMwNod types)

CAudioBufferKeeper | addr:007A07E0 | minOffset:20 | maxOffset:60 | offsets:8 | size:UNKNOWN
CMwCmdScriptVarInt | addr:0094B4D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdScriptVarIso4 | addr:0094B080 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdScriptVarString | addr:0094AE10 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdScriptVarVec2 | addr:0094ABC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdScriptVarVec3 | addr:0094A710 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CMwCmdSleep | addr:00948D80 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMwCmdSwitch | addr:0094E580 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CMwCmdSwitchType | addr:0094BF50 | minOffset:32 | maxOffset:56 | offsets:4 | size:60
CMwCmdWait | addr:009485F0 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CMwCmdWhile | addr:00954230 | minOffset:32 | maxOffset:40 | offsets:3 | size:44
CMwEngine | addr:00925290 | minOffset:24 | maxOffset:28 | offsets:2 | size:32
CMwNod | addr:00923E40 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CMwParam | addr:0093EA60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamAction | addr:00925C60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamBool | addr:00925CF0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamClass | addr:00925D80 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamColor | addr:00926210 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamEnum | addr:00926310 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamInteger | addr:009264A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamIntegerRange | addr:00926500 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamIso3 | addr:00926AD0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamIso4 | addr:00926860 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamMwId | addr:009267D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamNatural | addr:009263B0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamNaturalRange | addr:00926410 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamProc | addr:00927170 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamQuat | addr:00927060 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamReal | addr:00926590 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamRealRange | addr:00926620 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamRefBuffer | addr:00925F30 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamString | addr:00926680 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamStringInt | addr:00926710 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamStruct | addr:00926100 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamVec2 | addr:00926E40 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamVec3 | addr:00926DD0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwParamVec4 | addr:00926D70 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CMwRefBuffer | addr:0093BDB0 | minOffset:32 | maxOffset:36 | offsets:2 | size:40
CMwStatsValue | addr:0093BC30 | minOffset:20 | maxOffset:104 | offsets:8 | size:128
CNetClient | addr:00523C00 | minOffset:20 | maxOffset:340 | offsets:31 | size:UNKNOWN
CNetClientInfo | addr:0051E970 | minOffset:44 | maxOffset:72 | offsets:8 | size:UNKNOWN
CNetConnection | addr:0051F7B0 | minOffset:20 | maxOffset:236 | offsets:44 | size:UNKNOWN
CNetFileTransfer | addr:00518EC0 | minOffset:68 | maxOffset:252 | offsets:36 | size:UNKNOWN
CNetFileTransferDownload | addr:00512190 | minOffset:92 | maxOffset:232 | offsets:25 | size:240
CNetFileTransferForm | addr:00514900 | minOffset:28 | maxOffset:153 | offsets:7 | size:UNKNOWN
CNetFileTransferNod | addr:0051C7B0 | minOffset:20 | maxOffset:72 | offsets:11 | size:UNKNOWN
CNetFileTransferUpload | addr:00520420 | minOffset:80 | maxOffset:188 | offsets:30 | size:208
CNetFormConnectionAdmin | addr:00515040 | minOffset:28 | maxOffset:140 | offsets:14 | size:144
CNetFormEnumSessions | addr:00526B50 | minOffset:152 | maxOffset:152 | offsets:1 | size:UNKNOWN
CNetFormPing | addr:004DC890 | minOffset:44 | maxOffset:48 | offsets:2 | size:UNKNOWN
CNetFormQuerrySessions | addr:005229E0 | minOffset:44 | maxOffset:44 | offsets:1 | size:UNKNOWN
CNetFormRpcCall | addr:00513870 | minOffset:28 | maxOffset:32 | offsets:2 | size:UNKNOWN
CNetHttpClient | addr:00516BE0 | minOffset:20 | maxOffset:92 | offsets:12 | size:96
CNetHttpResult | addr:005098C0 | minOffset:20 | maxOffset:140 | offsets:20 | size:144
CNetIPC | addr:00A59230 | minOffset:20 | maxOffset:108 | offsets:4 | size:112
CNetIPSource | addr:00517F40 | minOffset:20 | maxOffset:180 | offsets:29 | size:184
CNetMasterHost | addr:00511400 | minOffset:20 | maxOffset:52 | offsets:5 | size:56
CNetMasterServer | addr:0050EDD0 | minOffset:28 | maxOffset:260 | offsets:39 | size:UNKNOWN
CNetMasterServerInfo | addr:00A5A650 | minOffset:20 | maxOffset:68 | offsets:14 | size:UNKNOWN
CNetMasterServerUptoDateCheck | addr:00517570 | minOffset:36 | maxOffset:92 | offsets:15 | size:UNKNOWN
CNetNod | addr:005088B0 | minOffset:20 | maxOffset:24 | offsets:2 | size:48,52
CNetServer | addr:00525A20 | minOffset:144 | maxOffset:292 | offsets:27 | size:UNKNOWN
CNetServerInfo | addr:00525910 | minOffset:20 | maxOffset:120 | offsets:18 | size:UNKNOWN
CNetSource | addr:0051CEA0 | minOffset:20 | maxOffset:106 | offsets:24 | size:108
CNetUPnP | addr:00A5A800 | minOffset:20 | maxOffset:24 | offsets:2 | size:UNKNOWN
CNetURLSource | addr:0051C940 | minOffset:20 | maxOffset:44 | offsets:5 | size:48
CNodSystem | addr:00439D10 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
COalAudioBufferKeeper | addr:007AC260 | minOffset:64 | maxOffset:68 | offsets:2 | size:100
COalAudioPort | addr:007A1C40 | minOffset:292 | maxOffset:400 | offsets:16 | size:408
COalDevice | addr:007A12E0 | minOffset:20 | maxOffset:56 | offsets:8 | size:104
CPlug | addr:00870870 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CPlugAudio | addr:008DDBF0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CPlugAudioEnvironment | addr:00886240 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:112
CPlugBitmap | addr:00844650 | minOffset:20 | maxOffset:112 | offsets:11 | size:120
CPlugBitmapAddress | addr:00896E00 | minOffset:48 | maxOffset:56 | offsets:3 | size:60
CPlugBitmapApply | addr:008D77E0 | minOffset:60 | maxOffset:60 | offsets:1 | size:64
CPlugBitmapHighLevel | addr:008D8000 | minOffset:20 | maxOffset:32 | offsets:4 | size:100
CPlugBitmapPack | addr:008D29E0 | minOffset:20 | maxOffset:56 | offsets:7 | size:60
CPlugBitmapPackElem | addr:008D0920 | minOffset:20 | maxOffset:36 | offsets:5 | size:56
CPlugBitmapPacker | addr:008D41C0 | minOffset:32 | maxOffset:100 | offsets:3 | size:104
CPlugBitmapPackInput | addr:008D03D0 | minOffset:20 | maxOffset:20 | offsets:1 | size:36
CPlugBitmapRender | addr:0087C180 | minOffset:20 | maxOffset:88 | offsets:13 | size:UNKNOWN
CPlugBitmapRenderCamera | addr:00855FA0 | minOffset:92 | maxOffset:252 | offsets:6 | size:264
CPlugBitmapRenderCubeMap | addr:008BABC0 | minOffset:92 | maxOffset:148 | offsets:3 | size:160
CPlugBitmapRenderHemisphere | addr:008CCD50 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:116
CPlugBitmapRenderLightFromMap | addr:008A1C60 | minOffset:116 | maxOffset:132 | offsets:5 | size:176
CPlugBitmapRenderLightOcc | addr:008A4B50 | minOffset:104 | maxOffset:104 | offsets:1 | size:172
CPlugBitmapRenderOverlay | addr:008C0500 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:104
CPlugBitmapRenderPlaneR | addr:008CB560 | minOffset:96 | maxOffset:100 | offsets:2 | size:384
CPlugBitmapRenderPortal | addr:008CB160 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:100
CPlugBitmapRenderScene3d | addr:00826800 | minOffset:344 | maxOffset:352 | offsets:3 | size:356
CPlugBitmapRenderShadow | addr:0087ACA0 | minOffset:92 | maxOffset:92 | offsets:1 | size:96
CPlugBitmapRenderSolid | addr:0087A770 | minOffset:92 | maxOffset:184 | offsets:8 | size:188
CPlugBitmapRenderSub | addr:008C6050 | minOffset:92 | maxOffset:92 | offsets:1 | size:96
CPlugBitmapRenderVDepPlaneY | addr:008C6800 | minOffset:92 | maxOffset:92 | offsets:1 | size:96
CPlugBitmapRenderWater | addr:008BA250 | minOffset:196 | maxOffset:204 | offsets:3 | size:392
CPlugBitmapSampler | addr:0085CAC0 | minOffset:20 | maxOffset:32 | offsets:3 | size:44
CPlugBitmapShader | addr:008B98D0 | minOffset:20 | maxOffset:32 | offsets:4 | size:36
CPlugBlendShapes | addr:00896620 | minOffset:28 | maxOffset:56 | offsets:4 | size:64
CPlugCrystal | addr:008D8750 | minOffset:20 | maxOffset:64 | offsets:11 | size:92
CPlugDecoratorSolid | addr:008988F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CPlugDecoratorTree | addr:008BFF60 | minOffset:24 | maxOffset:68 | offsets:12 | size:72
CPlugFile | addr:008395F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CPlugFileAvi | addr:008D6260 | minOffset:72 | maxOffset:76 | offsets:2 | size:80
CPlugFileBink | addr:0083AC10 | minOffset:72 | maxOffset:132 | offsets:8 | size:136
CPlugFileDds | addr:008789E0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CPlugFileFidCache | addr:00899880 | minOffset:56 | maxOffset:124 | offsets:4 | size:128
CPlugFileFidContainer | addr:008665D0 | minOffset:44 | maxOffset:52 | offsets:3 | size:UNKNOWN
CPlugFileFont | addr:008D66F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CPlugFileGen | addr:00873540 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:80
CPlugFileGPU | addr:008940D0 | minOffset:28 | maxOffset:184 | offsets:8 | size:UNKNOWN
CPlugFileGpuFx | addr:008DE9F0 | minOffset:28 | maxOffset:28 | offsets:1 | size:UNKNOWN
CPlugFileGpuFxD3d | addr:008C5EC0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CPlugFileGPUP | addr:008854D0 | minOffset:188 | maxOffset:196 | offsets:3 | size:UNKNOWN
CPlugFileGPUV | addr:0087DB50 | minOffset:188 | maxOffset:208 | offsets:6 | size:UNKNOWN
CPlugFileI18n | addr:008CCFA0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CPlugFileImg | addr:0084EB60 | minOffset:20 | maxOffset:48 | offsets:8 | size:52
CPlugFileJpg | addr:008980C0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CPlugFileModel | addr:008DDDF0 | minOffset:20 | maxOffset:24 | offsets:2 | size:UNKNOWN
CPlugFileModel3ds | addr:008C4740 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CPlugFileModelObj | addr:008C4A20 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CPlugFileOggVorbis | addr:008CBE50 | minOffset:44 | maxOffset:128 | offsets:22 | size:132
CPlugFilePack | addr:00863970 | minOffset:52 | maxOffset:168 | offsets:16 | size:176
CPlugFilePHlsl | addr:008A32D0 | minOffset:32 | maxOffset:200 | offsets:2 | size:204
CPlugFilePng | addr:008D31B0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CPlugFilePsh | addr:0089B070 | minOffset:32 | maxOffset:200 | offsets:2 | size:204
CPlugFilePso | addr:008C48A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:200
CPlugFileSnd | addr:00892480 | minOffset:20 | maxOffset:40 | offsets:6 | size:UNKNOWN
CPlugFileSndGen | addr:0089F6E0 | minOffset:44 | maxOffset:48 | offsets:2 | size:60
CPlugFileText | addr:008992D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CPlugFileTga | addr:0089D420 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:52
CPlugFileVHlsl | addr:0087E030 | minOffset:32 | maxOffset:220 | offsets:2 | size:224
CPlugFileVideo | addr:0089EF90 | minOffset:52 | maxOffset:68 | offsets:5 | size:UNKNOWN
CPlugFileVsh | addr:008D0A50 | minOffset:32 | maxOffset:236 | offsets:5 | size:240
CPlugFileVso | addr:008C5D70 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:212
CPlugFileWav | addr:008A05B0 | minOffset:44 | maxOffset:48 | offsets:2 | size:52
CPlugFileZip | addr:0083F2A0 | minOffset:52 | maxOffset:88 | offsets:7 | size:92
CPlugFont | addr:00851750 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CPlugFontBitmap | addr:008CDBB0 | minOffset:40 | maxOffset:72 | offsets:3 | size:124
CPlugFurWind | addr:00866A90 | minOffset:36 | maxOffset:36 | offsets:1 | size:40
CPlugIndexBuffer | addr:0089F4A0 | minOffset:20 | maxOffset:24 | offsets:2 | size:40
CPlugLight | addr:0089A6A0 | minOffset:20 | maxOffset:36 | offsets:5 | size:40
CPlugMaterial | addr:0085BA50 | minOffset:28 | maxOffset:44 | offsets:3 | size:56
CPlugMaterialCustom | addr:00871FE0 | minOffset:20 | maxOffset:140 | offsets:8 | size:144
CPlugMaterialFx | addr:008DDD80 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CPlugMaterialFxDynaBump | addr:008C7270 | minOffset:20 | maxOffset:20 | offsets:1 | size:40
CPlugMaterialFxDynaMobil | addr:008C70D0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CPlugMaterialFxFlags | addr:008C7540 | minOffset:20 | maxOffset:20 | offsets:1 | size:24
CPlugMaterialFxFur | addr:008C7710 | minOffset:20 | maxOffset:68 | offsets:3 | size:72
CPlugMaterialFxGenCV | addr:008C6410 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CPlugMaterialFxGenUvProj | addr:008C6BB0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CPlugMaterialFxs | addr:008BDF60 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:28
CPlugModel | addr:008A6DB0 | minOffset:24 | maxOffset:40 | offsets:4 | size:48
CPlugModelFences | addr:008BF050 | minOffset:20 | maxOffset:72 | offsets:10 | size:80
CPlugModelFur | addr:008C0C10 | minOffset:20 | maxOffset:276 | offsets:37 | size:280
CPlugModelLodMesh | addr:008A9A90 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:76
CPlugModelMesh | addr:008B7530 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:376
CPlugModelShell | addr:008CB710 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CPlugModelTree | addr:008A8510 | minOffset:44 | maxOffset:44 | offsets:1 | size:224
CPlugMusic | addr:00857740 | minOffset:116 | maxOffset:116 | offsets:1 | size:120
CPlugMusicType | addr:008BDC00 | minOffset:28 | maxOffset:112 | offsets:4 | size:UNKNOWN
CPlugPointsInSphereOpt | addr:00879CE0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:44
CPlugRessourceStrings | addr:008CD240 | minOffset:32 | maxOffset:32 | offsets:1 | size:36
CPlugShader | addr:0086D700 | minOffset:20 | maxOffset:52 | offsets:7 | size:UNKNOWN
CPlugShaderApply | addr:00868B60 | minOffset:156 | maxOffset:167 | offsets:6 | size:168
CPlugShaderGeneric | addr:00858010 | minOffset:140 | maxOffset:140 | offsets:1 | size:UNKNOWN
CPlugShaderPass | addr:008C8EF0 | minOffset:52 | maxOffset:84 | offsets:5 | size:88
CPlugShaderSprite | addr:008C8270 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:168
CPlugShaderSpritePath | addr:008C7EE0 | minOffset:168 | maxOffset:168 | offsets:1 | size:172
CPlugSolid | addr:00853930 | minOffset:20 | maxOffset:112 | offsets:5 | size:116
CPlugSound | addr:00885610 | minOffset:24 | maxOffset:72 | offsets:8 | size:112
CPlugSoundEngine | addr:0089FFA0 | minOffset:28 | maxOffset:152 | offsets:9 | size:160
CPlugSoundEngineComponent | addr:008A0F20 | minOffset:20 | maxOffset:20 | offsets:1 | size:64
CPlugSoundMood | addr:008D6CB0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:128
CPlugSoundMulti | addr:008CA1D0 | minOffset:112 | maxOffset:116 | offsets:2 | size:120
CPlugSoundSurface | addr:008CA920 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:156
CPlugSoundVideo | addr:00897E50 | minOffset:112 | maxOffset:116 | offsets:2 | size:120
CPlugSurface | addr:008BD7A0 | minOffset:20 | maxOffset:20 | offsets:1 | size:36
CPlugSurfaceGeom | addr:008BB230 | minOffset:24 | maxOffset:56 | offsets:3 | size:60
CPlugTree | addr:00849190 | minOffset:20 | maxOffset:168 | offsets:15 | size:172
CPlugTreeFrustum | addr:008A5030 | minOffset:156 | maxOffset:228 | offsets:10 | size:232
CPlugTreeGenerator | addr:008BD9D0 | minOffset:20 | maxOffset:20 | offsets:1 | size:UNKNOWN
CPlugTreeGenSolid | addr:008C4E10 | minOffset:24 | maxOffset:40 | offsets:3 | size:44
CPlugTreeGenText | addr:00856610 | minOffset:32 | maxOffset:84 | offsets:11 | size:112
CPlugTreeLight | addr:008898E0 | minOffset:172 | maxOffset:176 | offsets:2 | size:180
CPlugTreeViewDep | addr:00889710 | minOffset:172 | maxOffset:172 | offsets:1 | size:176
CPlugTreeVisualMip | addr:0086ABE0 | minOffset:188 | maxOffset:188 | offsets:1 | size:212
CPlugVertexStream | addr:00884060 | minOffset:20 | maxOffset:60 | offsets:6 | size:64
CPlugViewDepLocator | addr:008BF6B0 | minOffset:20 | maxOffset:20 | offsets:1 | size:96
CPlugVisual | addr:0085FE30 | minOffset:20 | maxOffset:116 | offsets:6 | size:UNKNOWN
CPlugVisual2D | addr:008BE7E0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:UNKNOWN
CPlugVisual3D | addr:0088C320 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:152
CPlugVisualGrid | addr:008A6320 | minOffset:28 | maxOffset:164 | offsets:3 | size:176
CPlugVisualHeightField | addr:008D69E0 | minOffset:28 | maxOffset:28 | offsets:1 | size:184
CPlugVisualIndexed | addr:008BC600 | minOffset:152 | maxOffset:152 | offsets:1 | size:UNKNOWN
CPlugVisualIndexedLines | addr:00888110 | minOffset:156 | maxOffset:156 | offsets:1 | size:160
CPlugVisualIndexedStrip | addr:008BE510 | minOffset:156 | maxOffset:156 | offsets:1 | size:160
CPlugVisualIndexedTriangles | addr:00881690 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:156
CPlugVisualIndexedTriangles2D | addr:008D7E50 | minOffset:132 | maxOffset:136 | offsets:2 | size:140
CPlugVisualLines | addr:0089AE70 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:152
CPlugVisualLines2D | addr:0089E720 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:132
CPlugVisualOctree | addr:00887FB0 | minOffset:20 | maxOffset:24 | offsets:2 | size:28
CPlugVisualPath | addr:008D3310 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:180
CPlugVisualQuads | addr:00886A20 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:152
CPlugVisualQuads2D | addr:00862320 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:132
CPlugVisualSprite | addr:00883730 | minOffset:176 | maxOffset:182 | offsets:3 | size:192
CPlugVisualStrip | addr:008D7040 | minOffset:152 | maxOffset:160 | offsets:3 | size:164
CPlugVisualTriangles | addr:0089E920 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:152
CPlugVisualVertexs | addr:008D75B0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:152
CScene | addr:007BBDE0 | minOffset:80 | maxOffset:156 | offsets:3 | size:UNKNOWN
CScene2d | addr:007B1C60 | minOffset:160 | maxOffset:164 | offsets:2 | size:184
CScene3d | addr:007B8370 | minOffset:164 | maxOffset:348 | offsets:6 | size:352
CSceneCamera | addr:007CDB10 | minOffset:48 | maxOffset:60 | offsets:3 | size:80
CSceneConfig | addr:007E9350 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CSceneConfigVision | addr:00820CD0 | minOffset:20 | maxOffset:24 | offsets:2 | size:28
CSceneController | addr:007DD0F0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CSceneEngine | addr:007CFF90 | minOffset:32 | maxOffset:36 | offsets:2 | size:40
CSceneExtraFlocking | addr:00816A80 | minOffset:144 | maxOffset:172 | offsets:5 | size:200
CSceneExtraFlockingCharacters | addr:00818D90 | minOffset:144 | maxOffset:156 | offsets:4 | size:220
CSceneField | addr:007E9B90 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:56
CSceneFx | addr:007EE4F0 | minOffset:20 | maxOffset:40 | offsets:4 | size:UNKNOWN
CSceneFxBloom | addr:008233C0 | minOffset:88 | maxOffset:168 | offsets:7 | size:172
CSceneFxBloomData | addr:00821450 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CSceneFxCameraBlend | addr:00809760 | minOffset:92 | maxOffset:92 | offsets:1 | size:96
CSceneFxColors | addr:007EAA00 | minOffset:88 | maxOffset:540 | offsets:13 | size:544
CSceneFxCompo | addr:008281E0 | minOffset:80 | maxOffset:84 | offsets:2 | size:UNKNOWN
CSceneFxDepthOfField | addr:0080BDF0 | minOffset:32 | maxOffset:156 | offsets:13 | size:172
CSceneFxDistor2d | addr:007D18A0 | minOffset:32 | maxOffset:104 | offsets:6 | size:108
CSceneFxFlares | addr:00824080 | minOffset:88 | maxOffset:88 | offsets:1 | size:92
CSceneFxGrayAccum | addr:00809BC0 | minOffset:116 | maxOffset:132 | offsets:3 | size:136
CSceneFxHeadTrack | addr:00820480 | minOffset:88 | maxOffset:132 | offsets:4 | size:136
CSceneFxMotionBlur | addr:0080A710 | minOffset:36 | maxOffset:88 | offsets:2 | size:128
CSceneFxNod | addr:007BA120 | minOffset:20 | maxOffset:68 | offsets:7 | size:72
CSceneFxOccZCmp | addr:00808150 | minOffset:88 | maxOffset:104 | offsets:4 | size:108
CSceneFxOverlay | addr:0080BB20 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CSceneFxStereoscopy | addr:007DBE60 | minOffset:88 | maxOffset:132 | offsets:9 | size:136
CSceneFxSuperSample | addr:007ECB90 | minOffset:88 | maxOffset:144 | offsets:14 | size:196
CSceneFxToneMapping | addr:00820F90 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:88
CSceneFxVisionK | addr:0080E340 | minOffset:44 | maxOffset:288 | offsets:25 | size:320
CSceneGate | addr:007EFA40 | minOffset:20 | maxOffset:28 | offsets:3 | size:32
CSceneLight | addr:007D2CD0 | minOffset:48 | maxOffset:48 | offsets:1 | size:56
CSceneListener | addr:007E91C0 | minOffset:48 | maxOffset:108 | offsets:3 | size:132
CSceneLocation | addr:007F1C60 | minOffset:40 | maxOffset:40 | offsets:1 | size:92
CSceneLocationCamera | addr:00824C00 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:112
CSceneMessageHandler | addr:007EEE10 | minOffset:20 | maxOffset:52 | offsets:8 | size:80
CSceneMobil | addr:007B3E40 | minOffset:40 | maxOffset:68 | offsets:5 | size:72
CSceneMobilClouds | addr:007D45E0 | minOffset:84 | maxOffset:152 | offsets:12 | size:156
CSceneMobilFlockAttractor | addr:00819520 | minOffset:72 | maxOffset:84 | offsets:2 | size:88
CSceneMobilLeaves | addr:007D9850 | minOffset:72 | maxOffset:100 | offsets:3 | size:172
CSceneMobilSnow | addr:007D4F90 | minOffset:92 | maxOffset:108 | offsets:4 | size:112
CSceneMobilTraffic | addr:007F04A0 | minOffset:72 | maxOffset:88 | offsets:3 | size:92
CSceneMood | addr:007F1430 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:36
CSceneMoods | addr:0081FA70 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CSceneMotorbikeEnvMaterial | addr:00833E70 | minOffset:36 | maxOffset:44 | offsets:3 | size:48
CSceneObject | addr:007B58F0 | minOffset:20 | maxOffset:36 | offsets:4 | size:40
CSceneObjectLink | addr:007B6030 | minOffset:20 | maxOffset:96 | offsets:6 | size:100
CScenePath | addr:007D2480 | minOffset:24 | maxOffset:24 | offsets:1 | size:56
CScenePickerManager | addr:007DB8E0 | minOffset:1096 | maxOffset:1628 | offsets:8 | size:UNKNOWN
CScenePoc | addr:007DD1F0 | minOffset:40 | maxOffset:52 | offsets:4 | size:UNKNOWN
CSceneSector | addr:007EECF0 | minOffset:20 | maxOffset:56 | offsets:3 | size:60
CSceneSoundManager | addr:007F1E30 | minOffset:20 | maxOffset:20 | offsets:1 | size:UNKNOWN
CSceneSoundSource | addr:007BC230 | minOffset:48 | maxOffset:56 | offsets:2 | size:60
CSceneToy | addr:007EE7E0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:108
CSceneToyBird | addr:00812460 | minOffset:108 | maxOffset:120 | offsets:3 | size:124
CSceneToyBoat | addr:007E7D70 | minOffset:132 | maxOffset:1040 | offsets:46 | size:1052
CSceneToyBroomstick | addr:00826110 | minOffset:212 | maxOffset:388 | offsets:6 | size:404
CSceneToyCharacter | addr:007FF2B0 | minOffset:124 | maxOffset:144 | offsets:4 | size:212
CSceneToyCharacterDesc | addr:008270F0 | minOffset:20 | maxOffset:20 | offsets:1 | size:28
CSceneToyCharacterTuning | addr:008089C0 | minOffset:56 | maxOffset:80 | offsets:5 | size:92
CSceneToyCharacterTunings | addr:00809670 | minOffset:32 | maxOffset:36 | offsets:2 | size:40
CSceneToyDisplayGraph | addr:0081FD80 | minOffset:124 | maxOffset:128 | offsets:2 | size:144
CSceneToyDisplayHistogram | addr:0081FC60 | minOffset:108 | maxOffset:108 | offsets:1 | size:112
CSceneToyDisplayProgress | addr:0081FEE0 | minOffset:116 | maxOffset:120 | offsets:2 | size:124
CSceneToyFilaments | addr:0081A2F0 | minOffset:172 | maxOffset:172 | offsets:1 | size:176
CSceneToyLeash | addr:0080FFA0 | minOffset:116 | maxOffset:116 | offsets:1 | size:132
CSceneToyMotorbike | addr:0081EAF0 | minOffset:128 | maxOffset:1328 | offsets:43 | size:1344
CSceneToyRock | addr:00823EE0 | minOffset:112 | maxOffset:120 | offsets:3 | size:152
CSceneToySea | addr:007D6C30 | minOffset:108 | maxOffset:300 | offsets:29 | size:332
CSceneToySeaHoule | addr:0082A7D0 | minOffset:64 | maxOffset:84 | offsets:6 | size:176
CSceneToySeaHouleFixe | addr:008346C0 | minOffset:208 | maxOffset:208 | offsets:1 | size:212
